epoch_id,count,duration_ms,timestamp
0,0,810.1819,2025-11-30T15:53:39.249443+00:00
1,1,979.5644,2025-11-30T15:53:55.299298+00:00
2,126,378.7649,2025-11-30T15:53:55.926643+00:00
3,61,342.4324,2025-11-30T15:53:56.458363+00:00
4,50,199.9463,2025-11-30T15:53:56.822795+00:00
5,37,172.0309,2025-11-30T15:53:57.170463+00:00
6,34,143.0933,2025-11-30T15:53:57.467297+00:00
7,30,133.1228,2025-11-30T15:53:57.714659+00:00
8,28,207.1859,2025-11-30T15:53:58.109343+00:00
9,38,182.3202,2025-11-30T15:53:58.434111+00:00
10,30,146.4966,2025-11-30T15:53:58.743148+00:00
11,32,122.0025,2025-11-30T15:53:58.990076+00:00
12,24,121.6578,2025-11-30T15:53:59.221655+00:00
13,23,108.7149,2025-11-30T15:53:59.470222+00:00
14,26,101.9347,2025-11-30T15:53:59.744379+00:00
15,26,111.9425,2025-11-30T15:54:00.019525+00:00
16,28,105.5394,2025-11-30T15:54:00.243118+00:00
17,23,95.7577,2025-11-30T15:54:00.468263+00:00
18,23,156.5577,2025-11-30T15:54:00.808104+00:00
19,36,123.2793,2025-11-30T15:54:01.084547+00:00
20,25,109.6191,2025-11-30T15:54:01.321353+00:00
21,23,109.0433,2025-11-30T15:54:01.545615+00:00
22,22,111.9749,2025-11-30T15:54:01.769005+00:00
23,23,148.6291,2025-11-30T15:54:02.025019+00:00
24,26,130.5990,2025-11-30T15:54:02.268288+00:00
25,24,106.8253,2025-11-30T15:54:02.484331+00:00
26,22,88.4780,2025-11-30T15:54:02.684442+00:00
27,18,89.5376,2025-11-30T15:54:02.867635+00:00
28,19,180.4371,2025-11-30T15:54:03.144441+00:00
29,28,81.6075,2025-11-30T15:54:03.328344+00:00
30,18,77.3243,2025-11-30T15:54:03.506028+00:00
31,18,116.6273,2025-11-30T15:54:03.744354+00:00
32,24,76.2674,2025-11-30T15:54:03.939364+00:00
33,20,686.4402,2025-11-30T15:54:04.741476+00:00
34,14,74.7018,2025-11-30T15:54:04.920546+00:00
